GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_10102	0	0	0	0	0	0	0	0	0	0	0	0
gene_10103	0	0	0	1	1	0	1	0	0	0	0	2
gene_10104	0	0	0	0	0	0	0	0	0	0	0	0
gene_10105	0	0	0	1	1	0	0	1	1	1	3	3
gene_10106	0	0	0	0	0	2	0	0	4	0	0	0
gene_10107	0	0	0	48	20	14	16	23	33	13	23	31
gene_10108	0	0	0	0	0	0	0	0	0	0	0	0
gene_10109	0	0	0	2	0	1	0	0	1	0	0	0
gene_1011	0	0	0	0	0	0	0	0	0	0	0	0
gene_10110	0	0	0	2	0	1	2	1	4	2	2	4
gene_10111	0	0	0	2	0	0	1	0	2	0	0	0
gene_10112	0	0	0	14	15	9	3	5	6	14	9	4
gene_10113	0	0	0	9	6	5	2	5	1	5	2	2
gene_10114	0	0	0	0	0	0	0	0	0	0	0	0
gene_10115	0	0	0	1	1	3	1	0	0	0	1	3
