GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_5783	0	0	0	7	9	3	0	4	0	6	5
gene_5784	0	0	0	0	0	0	1	0	0	0	0
gene_5785	0	0	0	0	0	0	0	0	1	0	0
gene_5786	0	0	0	7	6	2	11	5	6	4	6
gene_5787	0	0	0	18	11	6	3	3	3	1	14
gene_5788	0	0	0	105	55	31	14	33	23	20	78
gene_5789	0	0	0	92	118	14	13	23	28	11	56
gene_579	0	0	0	17	12	7	8	8	9	9	22
gene_5790	0	0	0	6	4	1	2	1	2	0	4
gene_5791	0	0	0	4	5	4	1	2	3	1	2
gene_5792	0	0	0	29	23	5	11	6	15	7	18
gene_5793	0	0	0	89	27	20	21	20	33	25	53
gene_5794	0	0	0	50	24	15	5	19	14	16	35
gene_5795	0	0	0	132	74	43	33	26	56	31	85
gene_5796	0	0	0	186	215	77	66	75	108	68	141
gene_5797	0	0	0	21	11	31	31	21	50	23	46
gene_5798	0	0	0	6	10	7	7	6	10	6	14
gene_5799	0	0	0	35	43	19	13	19	19	13	35
gene_58	0	0	0	15	20	2	4	4	5	2	11
gene_580	0	0	0	1	0	0	0	0	1	0	0
gene_5800	0	0	0	70	44	5	5	12	16	7	25
gene_5801	0	0	0	1	5	2	5	5	6	8	5
gene_5802	0	0	0	1	0	2	1	2	4	0	0
gene_5803	0	0	0	39	17	18	12	12	17	12	24
gene_5804	0	0	0	0	0	0	0	0	0	0	0
gene_5805	0	0	0	0	0	0	0	0	0	0	0
gene_5806	0	0	0	7	5	0	3	4	6	0	7
gene_5807	0	0	0	46	38	7	0	5	7	4	18
gene_5808	0	0	0	11	3	3	0	3	4	4	3
gene_5809	0	0	0	0	0	0	0	0	0	0	0
gene_581	0	0	0	0	0	0	0	0	0	0	1
gene_5810	0	0	0	5	7	7	3	8	4	2	11
gene_5811	0	0	0	6	9	8	3	2	2	4	6
gene_5812	0	0	0	11	20	6	0	12	9	4	7
gene_5813	0	0	0	0	0	0	0	0	0	0	0
gene_5814	0	0	0	167	122	37	47	42	64	25	129
gene_5815	0	0	0	7	11	2	1	3	4	5	3
gene_5816	1	0	0	132	130	22	10	18	20	12	20
gene_5817	0	0	0	17	21	1	3	6	3	2	8
gene_5818	0	0	0	7	5	1	1	2	1	0	3
gene_5819	0	0	0	15	12	4	13	6	6	3	8
gene_582	0	0	0	0	1	0	0	0	0	0	0
gene_5820	0	0	0	287	215	69	45	82	63	45	120
gene_5821	0	0	0	1	0	0	0	0	0	0	0
gene_5822	0	0	0	77	51	15	7	19	28	24	51
gene_5823	0	0	0	15	12	2	1	3	3	3	13
gene_5824	0	0	0	10	7	6	10	12	11	13	16
gene_5825	0	0	0	0	0	0	0	0	0	0	0
gene_5826	0	0	0	2	1	2	5	0	0	1	0
gene_5827	0	0	0	881	498	17	4	20	10	4	71
gene_5828	0	0	0	20	12	8	7	7	4	0	16
gene_5829	0	0	0	5	2	1	1	2	2	0	2
gene_583	0	0	0	63	63	15	27	29	17	5	39
gene_5830	0	0	0	95	81	24	35	47	42	17	69
gene_5831	0	0	0	25	16	3	3	8	5	6	11
gene_5832	0	0	0	0	0	0	0	0	0	0	0
gene_5833	0	0	0	0	0	0	0	0	0	0	0
gene_5834	0	0	0	7	6	3	1	3	6	3	7
gene_5835	0	0	0	84	68	34	13	35	40	14	61
gene_5836	0	0	0	13	5	6	6	8	4	1	8
gene_5837	0	0	0	488	364	61	66	108	75	23	165
gene_5838	0	0	0	28	32	10	4	9	21	6	22
gene_5839	0	0	0	0	1	1	0	0	0	0	2
gene_584	0	0	0	39	49	15	12	8	13	8	24
gene_5840	0	0	0	0	0	0	0	0	0	0	0
gene_5841	0	0	0	33	25	2	4	5	2	1	17
gene_5842	0	0	0	13	18	1	0	3	0	2	0
gene_5843	0	0	0	6	5	1	1	3	3	0	8
gene_5844	0	0	0	14	16	7	4	8	4	2	11
gene_5845	0	0	0	6	13	3	10	6	8	10	30
gene_5846	0	0	0	0	0	0	1	0	0	0	0
gene_5847	0	0	0	156	183	64	43	50	79	25	201
gene_5848	0	0	0	18	7	4	1	8	6	1	15
gene_5849	0	0	0	3	0	0	1	0	2	0	8
