GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_8162	0	0	4	9	7	3	11	12	1	0	15
gene_8163	0	0	0	0	0	0	0	0	0	0	0
gene_8164	0	0	0	0	0	0	0	0	0	0	0
gene_8165	0	0	10	10	28	19	27	23	9	7	28
gene_8166	0	0	5	24	21	19	27	37	9	1	16
gene_8167	0	0	0	0	1	0	0	0	2	0	0
gene_8168	0	0	17	20	50	37	53	51	12	12	32
gene_8169	0	0	5	2	5	9	13	10	8	2	12
gene_817	0	0	5	10	12	15	16	23	7	9	15
gene_8170	0	0	9	27	44	32	28	52	25	6	41
gene_8171	0	0	0	0	0	0	0	0	0	0	0
gene_8172	0	0	0	1	4	0	4	0	2	0	1
gene_8173	0	0	3	5	12	6	9	11	3	4	11
gene_8174	0	0	10	14	15	14	12	15	9	5	10
gene_8175	0	0	11	20	23	21	21	35	12	5	15
gene_8176	0	0	5	5	3	2	2	5	0	1	3
gene_8177	0	0	3	5	2	2	2	6	0	0	4
gene_8178	0	0	0	0	0	0	0	0	0	0	0
gene_8179	0	0	13	9	32	13	13	14	8	2	13
gene_818	0	0	69	67	151	267	242	348	124	69	275
gene_8180	0	0	1	5	5	4	44	16	10	20	22
gene_8181	0	0	11	11	43	25	25	24	14	2	17
gene_8182	0	0	1	1	2	0	0	0	0	0	1
gene_8183	0	0	0	0	3	3	4	8	2	0	5
gene_8184	0	0	2	2	7	7	2	2	5	0	0
gene_8185	0	0	26	67	126	119	119	198	48	22	128
gene_8186	0	0	2	2	2	6	2	5	3	2	5
gene_8187	0	0	0	1	4	1	1	5	5	0	6
gene_8188	0	0	1	0	1	0	0	0	0	1	0
gene_8189	0	0	0	0	0	0	0	0	0	0	0
gene_819	0	0	6	7	9	4	10	10	7	5	6
gene_8190	0	0	0	4	1	0	0	2	1	0	1
gene_8191	0	0	0	0	0	0	0	0	0	0	0
gene_8192	0	0	0	0	0	0	0	0	0	0	0
gene_8193	0	0	18	22	33	16	18	30	9	9	22
gene_8194	0	0	0	0	0	0	0	0	0	0	0
gene_8195	0	0	0	0	0	0	0	0	0	0	0
gene_8196	0	0	21	15	38	29	35	33	10	7	26
gene_8197	0	0	13	55	51	18	22	78	29	8	50
gene_8198	0	0	8	4	12	5	5	10	2	1	1
gene_8199	0	0	9	7	24	14	11	20	11	1	11
gene_82	0	0	30	70	122	64	69	71	55	17	92
gene_820	0	0	5	7	15	8	3	4	2	2	4
gene_8200	0	0	6	8	10	14	9	10	0	3	11
gene_8201	0	0	2	2	4	6	4	7	1	1	4
gene_8202	0	0	9	3	6	15	12	20	3	21	13
gene_8203	0	0	12	11	28	17	9	11	4	2	16
gene_8204	0	0	1	4	0	2	1	2	0	0	0
gene_8205	0	0	6	6	4	11	13	14	11	0	10
