GeneID	GGAYX	GGAYY	GGAYZ	GGAZA	GGAZB	GGAZC	GGAZG	GGAZH	GGAZN	GGAZO
gene_2402	0	0	33	28	34	67	29	13	29	25
gene_2403	0	0	39	33	25	67	26	13	28	27
gene_2404	0	0	10	7	16	59	23	6	21	31
gene_2405	0	0	274	229	116	174	118	52	138	125
gene_2406	0	0	1	4	21	36	21	5	16	21
gene_2407	0	0	5	3	5	9	13	2	13	7
gene_2408	0	0	15	13	9	20	7	5	11	21
gene_2409	0	0	18	14	11	21	12	7	24	11
gene_241	0	0	29	28	17	36	16	9	12	28
gene_2410	0	0	27	37	27	40	19	10	43	14
gene_2411	0	0	4	6	2	15	6	2	2	6
gene_2412	0	0	7	7	11	3	5	3	13	5
gene_2413	0	0	22	30	13	38	10	11	23	19
gene_2414	0	0	14	13	13	46	13	10	18	23
gene_2415	0	0	5	10	3	6	6	2	15	8
gene_2416	0	0	0	0	1	1	4	0	0	3
gene_2417	0	0	13	10	9	18	8	8	11	8
gene_2418	0	0	159	78	47	183	63	54	124	69
gene_2419	0	0	3	6	1	12	2	0	1	2
gene_242	0	0	184	158	65	207	74	41	76	128
gene_2420	0	0	4	3	1	0	1	0	0	5
gene_2421	0	0	0	0	0	0	0	0	0	0
gene_2422	0	0	31	41	14	30	9	3	17	22
gene_2423	0	0	8	9	10	25	5	4	7	4
gene_2424	0	0	8	9	3	2	4	1	3	4
gene_2425	0	0	2	2	3	3	1	2	3	3
gene_2426	0	0	15	22	15	46	15	9	18	20
gene_2427	0	0	19	29	7	17	5	4	15	6
gene_2428	0	0	4	10	3	1	4	2	0	0
gene_2429	0	0	1	0	1	7	0	0	5	2
gene_243	0	0	0	0	2	4	3	0	5	0
gene_2430	0	0	16	26	7	10	12	0	4	12
gene_2431	0	0	0	0	14	11	11	2	3	8
gene_2432	0	0	1	0	2	1	1	0	2	0
gene_2433	0	0	19	46	20	32	27	3	12	16
gene_2434	0	0	23	29	14	29	11	5	17	28
gene_2435	0	0	4	4	6	13	5	3	6	4
gene_2436	0	0	1	0	0	3	6	0	1	1
gene_2437	0	0	34	49	37	85	33	7	31	51
gene_2438	0	0	7	5	8	15	7	2	6	8
gene_2439	0	0	29	36	38	65	28	19	37	25
gene_244	0	0	6	1	27	109	20	9	70	12
gene_2440	0	0	60	49	60	149	40	18	53	45
gene_2441	0	0	54	68	27	55	12	6	17	30
gene_2442	0	0	6	7	4	6	4	2	1	3
gene_2443	0	0	2	1	0	1	1	1	1	0
gene_2444	0	0	44	68	38	73	31	20	35	29
gene_2445	0	0	0	0	0	0	0	0	0	0
gene_2446	0	0	3	8	0	5	0	0	1	1
gene_2447	0	0	7	1	4	8	1	2	10	1
gene_2448	0	0	0	0	0	0	0	0	3	0
gene_2449	0	0	0	0	0	6	6	1	5	4
gene_245	0	0	59	50	43	81	53	10	39	27
gene_2450	0	0	3	0	8	27	10	4	6	0
gene_2451	0	0	5	4	1	5	5	1	12	2
gene_2452	0	0	53	33	9	25	13	3	17	8
gene_2453	0	0	0	0	0	0	0	0	0	0
gene_2454	0	0	0	0	0	0	0	0	0	0
gene_2455	0	0	55	38	15	47	23	14	10	31
gene_2456	0	0	44	55	35	64	40	18	36	36
gene_2457	0	0	0	0	0	1	1	0	0	2
gene_2458	0	0	2	0	0	1	0	1	117	0
gene_2459	0	0	35	41	25	55	28	14	25	26
gene_246	0	0	37	14	32	51	17	11	14	41
gene_2460	0	0	2	3	1	4	0	0	2	0
gene_2461	0	0	0	0	0	0	0	0	0	0
gene_2462	0	0	0	0	1	0	1	0	0	1
gene_2463	0	0	0	1	1	2	0	0	3	3
gene_2464	0	0	4	4	11	54	6	19	11	13
gene_2465	0	0	0	2	0	0	0	0	0	0
gene_2466	0	0	23	44	6	21	6	3	7	9
gene_2467	0	0	21	35	26	48	25	12	45	35
gene_2468	0	0	0	1	0	1	0	0	1	1
gene_2469	0	0	29	21	2	5	4	5	15	3
gene_247	0	0	1	0	4	5	6	1	2	9
gene_2470	0	0	21	27	11	27	13	6	6	9
gene_2471	0	0	50	27	7	21	4	5	18	8
gene_2472	0	0	6	2	4	4	1	0	0	1
gene_2473	0	0	4	7	4	2	0	1	2	0
gene_2474	0	0	41	46	27	58	36	6	20	38
gene_2475	0	0	28	43	15	25	14	18	26	17
gene_2476	0	0	3	2	2	2	1	0	2	4
gene_2477	0	0	24	39	17	30	11	8	18	22
gene_2478	0	0	17	19	25	28	10	8	19	14
gene_2479	0	0	18	21	11	23	10	1	9	10
gene_248	0	0	1	3	2	0	3	0	1	0
gene_2480	0	0	3	1	3	5	1	0	1	1
gene_2481	0	0	40	63	19	52	20	8	37	31
gene_2482	0	0	5	10	28	69	11	15	14	27
gene_2483	0	0	20	8	14	54	10	10	12	13
gene_2484	0	0	9	14	5	12	1	0	4	7
gene_2485	0	0	72	68	32	115	49	27	26	48
gene_2486	0	0	13	30	14	61	25	8	23	15
gene_2487	0	0	69	45	74	161	77	18	63	65
gene_2488	0	0	38	33	113	220	38	46	68	118
gene_2489	0	0	5	13	4	15	5	10	12	17
gene_249	0	0	0	2	3	3	1	0	2	4
gene_2490	0	0	39	40	29	75	29	15	49	41
gene_2491	0	0	10	10	0	13	7	5	2	8
gene_2492	0	0	172	101	166	389	141	71	222	201
gene_2493	0	0	3	5	2	5	1	0	4	3
gene_2494	0	0	25	35	22	35	30	15	44	31
gene_2495	0	0	6	13	5	9	2	1	10	0
gene_2496	0	0	19	17	5	20	10	1	13	12
gene_2497	0	0	33	43	26	46	32	18	35	45
gene_2498	0	0	16	20	17	31	20	8	16	24
gene_2499	0	0	0	0	2	2	2	2	0	2
gene_25	0	0	6	8	1	8	1	1	12	6
gene_250	0	0	0	1	0	1	0	0	3	0
gene_2500	0	0	11	7	20	42	26	6	51	18
gene_2501	0	0	48	41	17	80	18	5	35	37
gene_2502	0	0	46	48	45	119	34	17	40	58
gene_2503	0	0	0	0	0	0	1	0	0	0
gene_2504	0	0	1	0	0	2	1	0	0	0
gene_2505	0	0	7	16	9	18	10	3	5	3
gene_2506	0	0	19	18	5	15	8	4	9	16
gene_2507	0	0	3	1	2	4	3	0	7	0
gene_2508	0	0	7	6	7	9	2	0	4	3
gene_2509	0	0	36	31	15	34	11	7	16	9
gene_251	0	0	6	2	11	11	4	5	5	4
gene_2510	0	0	18	32	8	14	21	5	15	17
gene_2511	0	0	16	12	14	23	13	9	18	10
gene_2512	0	0	85	103	35	96	31	22	44	56
