GeneID	GGAYA	GGAYB	GGAYC	GGAYG	GGAYH	GGAYS	GGAYT	GGAYU	GGAYW	GGAYN	GGAYO	GGAYP
gene_179	0	0	0	4	7	12	3	6	2	1	7	13
gene_1790	0	0	0	15	6	15	16	30	16	10	23	22
gene_1791	0	0	0	4	4	2	5	9	1	17	26	7
gene_1792	0	0	0	0	5	2	3	4	2	1	3	10
gene_1793	0	0	0	2	0	0	1	5	0	1	0	1
gene_1794	0	0	0	8	8	8	1	4	4	3	8	11
gene_1795	0	0	0	39	81	43	26	23	44	6	36	46
gene_1796	0	0	0	0	4	1	4	2	6	1	2	7
gene_1797	0	0	0	19	22	17	5	16	15	5	20	16
gene_1798	0	0	0	47	66	46	34	37	32	37	61	63
gene_1799	0	0	0	166	223	144	187	231	195	116	267	440
gene_18	0	0	0	2	5	4	6	3	0	1	0	3
gene_180	0	0	0	20	46	14	36	52	46	40	69	90
gene_1800	0	0	0	18	7	6	10	6	3	13	5	13
gene_1801	0	0	0	0	8	2	1	2	8	5	2	7
gene_1802	0	0	0	14	10	11	20	17	9	11	9	26
gene_1803	0	0	0	26	15	10	16	11	13	7	18	12
gene_1804	0	0	0	42	74	38	11	38	24	20	39	57
gene_1805	0	0	0	52	58	37	53	55	29	21	71	72
gene_1806	0	0	0	8	15	11	9	6	5	10	6	7
gene_1807	0	0	0	71	88	43	43	50	40	28	48	67
gene_1808	0	0	0	0	0	0	0	0	0	0	0	0
gene_1809	0	0	0	0	0	0	0	1	0	1	0	1
gene_181	0	0	0	19	41	20	21	18	12	38	23	33
gene_1810	0	0	0	0	0	0	0	0	1	0	0	0
gene_1811	0	0	0	0	0	2	0	0	0	0	0	0
gene_1812	0	0	0	0	0	0	0	0	0	0	0	0
gene_1813	0	0	0	0	0	1	1	0	0	0	0	0
gene_1814	0	0	0	2	0	3	2	5	2	1	3	9
gene_1815	0	0	0	33	41	21	27	39	24	16	32	31
gene_1816	0	0	0	10	9	11	9	14	19	11	25	31
gene_1817	0	0	0	28	36	23	55	83	52	66	99	129
gene_1818	0	0	0	61	73	39	47	47	43	26	82	79
gene_1819	0	0	0	35	61	44	34	43	29	26	34	51
gene_182	0	0	0	27	41	17	14	17	12	5	31	20
gene_1820	0	0	0	26	66	31	28	43	26	12	38	58
gene_1821	0	0	0	10	6	8	12	12	4	2	13	18
gene_1822	0	0	0	7	5	3	4	7	5	1	6	7
gene_1823	0	0	0	6	19	13	3	12	5	1	6	17
gene_1824	0	0	0	7	32	8	6	9	9	3	7	13
gene_1825	0	0	0	13	23	8	7	12	5	9	10	11
gene_1826	0	0	0	42	63	28	27	26	32	22	36	59
gene_1827	0	0	0	0	0	0	0	0	1	0	0	2
gene_1828	0	0	0	11	24	20	17	37	14	26	35	30
gene_1829	0	0	0	32	71	38	36	60	37	37	51	83
gene_183	0	0	0	113	96	73	90	104	56	57	61	151
gene_1830	0	0	0	4	2	2	10	5	1	4	7	8
gene_1831	0	0	0	3	4	1	2	4	6	0	7	6
gene_1832	0	0	0	2	0	3	2	2	0	0	0	1
gene_1833	0	0	0	8	21	17	4	10	4	6	12	10
gene_1834	0	0	0	11	14	10	4	13	10	5	14	16
gene_1835	0	0	0	38	102	35	34	65	38	38	65	65
gene_1836	0	0	0	470	610	308	264	477	273	197	394	634
gene_1837	0	0	0	17	19	17	1	12	9	11	12	21
gene_1838	0	0	0	18	14	17	16	16	11	7	8	17
gene_1839	0	0	0	0	0	0	0	0	2	0	0	1
gene_184	0	0	3	45	59	36	24	29	27	22	34	25
gene_1840	0	0	0	0	1	0	0	0	0	0	0	0
gene_1841	0	0	0	510	605	333	400	571	351	198	446	712
gene_1842	0	0	0	32	26	27	59	64	39	78	101	97
