GeneID	GCWZY	GCWZZ	GCXAA	GCXAB	GCXAC	GCXAG	GCXAH	GCXAN	GCXAO	GCXAP	GCXAS	GCXAT
gene_3461	0	0	0	0	4	3	0	0	0	0	0	5
gene_3462	0	0	0	26	16	18	2	13	6	5	8	9
gene_3463	0	0	0	5	12	1	1	5	6	8	1	3
gene_3464	0	0	0	20	30	39	10	26	19	11	10	26
gene_3465	0	0	0	24	42	23	8	18	14	10	8	23
gene_3466	0	0	0	5	1	4	3	15	4	2	3	3
gene_3467	0	0	0	4	12	0	5	12	6	0	2	0
gene_3468	0	0	0	0	0	0	0	0	0	0	0	0
gene_3469	0	0	0	0	0	0	0	0	0	0	0	0
gene_347	0	0	0	127	60	61	36	53	37	10	18	28
gene_3470	0	0	0	0	0	0	0	0	0	0	0	0
gene_3471	0	0	0	0	0	0	0	0	0	0	0	0
gene_3472	0	0	0	0	0	0	0	0	0	0	0	0
gene_3473	0	0	0	1	1	1	0	0	1	0	0	1
gene_3474	0	0	0	8	9	9	7	5	7	5	4	3
gene_3475	0	0	0	0	0	4	1	1	2	0	0	0
gene_3476	0	0	0	0	0	0	0	0	0	0	0	0
gene_3477	0	0	0	7	4	3	2	6	8	2	1	6
gene_3478	0	0	0	24	31	17	4	16	12	8	7	7
gene_3479	0	0	0	0	0	0	0	0	0	0	0	0
gene_348	0	0	0	110	180	185	47	123	65	30	34	71
gene_3480	0	0	0	0	0	0	0	1	0	0	0	0
gene_3481	0	0	0	49	38	16	19	67	39	13	14	24
gene_3482	0	0	0	4	8	9	2	3	7	3	3	4
gene_3483	0	0	0	2	1	1	1	3	2	1	0	1
gene_3484	0	0	0	0	1	2	0	1	0	1	0	0
gene_3485	0	0	0	16	21	33	8	15	13	9	9	13
gene_3486	0	0	0	23	7	38	4	20	11	11	4	9
gene_3487	0	0	0	99	107	126	28	48	43	12	19	27
gene_3488	0	0	0	3	1	0	0	0	0	0	0	0
gene_3489	0	0	0	26	8	14	5	7	4	1	7	7
gene_349	0	0	0	0	0	0	0	0	0	0	0	0
gene_3490	0	0	0	17	10	11	7	22	18	7	7	5
gene_3491	0	0	0	3	1	0	0	5	0	0	1	2
gene_3492	0	0	0	0	0	1	0	4	1	0	2	0
gene_3493	0	0	0	0	0	0	0	0	0	0	0	0
gene_3494	0	0	0	0	0	0	0	1	1	0	0	0
gene_3495	0	0	0	6	1	1	1	2	1	1	2	1
gene_3496	0	0	0	1	2	0	0	2	3	0	1	0
gene_3497	0	0	0	2	0	2	3	5	1	1	2	3
gene_3498	0	0	0	21	12	14	15	18	12	15	9	10
gene_3499	0	0	0	0	0	0	0	0	0	0	0	0
gene_35	0	0	0	4	0	10	1	5	4	0	0	2
gene_350	0	0	0	0	0	0	0	0	0	0	0	0
gene_3500	0	0	0	0	0	0	1	1	0	1	1	0
