GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_8623	0	0	0	0	0	0	0	0	0	0	0
gene_8624	0	0	0	0	0	0	0	0	0	0	0
gene_8625	0	0	0	2	1	0	6	0	0	3	3
gene_8626	0	0	0	0	0	0	0	0	0	0	0
gene_8627	0	0	0	0	0	0	0	0	0	0	0
gene_8628	0	0	0	17	12	11	32	6	2	5	6
gene_8629	0	0	0	0	4	1	0	1	0	1	2
gene_863	0	0	0	25	15	4	40	11	3	10	27
gene_8630	0	0	0	5	1	2	6	0	1	3	1
gene_8631	0	0	0	30	23	16	30	8	3	13	39
gene_8632	0	0	0	50	28	18	76	17	14	22	46
gene_8633	0	0	0	0	0	0	0	0	0	0	0
gene_8634	0	0	0	0	0	0	0	0	0	0	0
gene_8635	0	0	0	0	0	0	0	0	0	0	0
gene_8636	0	0	0	0	0	0	0	0	0	0	0
gene_8637	0	0	0	0	0	0	0	0	0	0	0
gene_8638	0	0	0	0	0	1	1	1	1	0	0
gene_8639	0	0	0	0	0	0	0	0	0	0	0
gene_864	0	0	0	9	12	9	17	5	1	3	14
gene_8640	0	0	0	28	37	24	44	12	7	16	27
gene_8641	0	0	0	11	17	14	18	9	1	5	11
gene_8642	0	0	0	1	0	2	6	0	0	0	5
gene_8643	0	0	0	0	0	0	0	0	0	0	0
gene_8644	0	0	0	1	0	0	1	0	0	0	0
gene_8645	0	0	0	8	21	11	24	7	0	6	13
gene_8646	0	0	0	77	110	155	418	80	28	40	99
gene_8647	0	0	0	23	56	11	24	2	5	5	18
gene_8648	0	0	0	1	1	0	1	0	0	1	1
gene_8649	0	0	0	0	3	1	1	1	0	0	0
gene_865	0	0	0	7	7	11	35	6	2	13	5
gene_8650	0	0	0	3	9	2	3	2	0	2	0
gene_8651	0	0	0	27	43	17	34	5	2	6	26
gene_8652	0	0	0	1	4	1	4	1	1	1	1
gene_8653	0	0	0	69	77	38	135	52	27	27	78
gene_8654	0	0	0	3	2	3	7	2	0	8	8
gene_8655	0	0	0	23	33	16	45	8	5	7	27
gene_8656	0	0	0	8	10	9	12	5	0	2	2
gene_8657	0	0	0	0	0	0	0	0	0	0	0
gene_8658	0	0	0	4	11	5	8	3	0	0	1
gene_8659	0	0	0	21	17	20	35	12	9	7	20
gene_866	0	0	0	13	63	71	134	54	17	75	101
gene_8660	0	0	0	9	10	2	6	1	1	3	4
gene_8661	0	0	0	0	0	0	1	0	0	0	0
gene_8662	0	0	0	5	16	5	16	1	0	4	5
gene_8663	0	0	0	0	0	0	0	0	0	0	0
gene_8664	0	0	0	6	28	43	188	67	49	100	41
gene_8665	0	0	0	8	15	16	51	22	8	9	39
gene_8666	0	0	0	1	1	4	5	0	0	1	3
gene_8667	0	0	0	55	91	56	123	27	14	42	61
gene_8668	0	0	0	0	0	0	0	0	0	0	0
gene_8669	0	0	0	19	20	11	31	12	0	7	12
gene_867	0	0	0	17	19	23	76	20	3	16	26
