GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_6209	0	0	0	0	0	0	0	0	0	0	0	0
gene_621	0	0	0	13	9	0	1	13	11	2	8	4
gene_6210	0	0	0	0	0	0	0	0	0	0	0	0
gene_6211	0	0	0	0	0	0	1	1	1	0	0	1
gene_6212	0	0	0	0	0	1	0	0	0	0	0	0
gene_6213	0	0	0	1	2	2	3	2	1	0	1	0
gene_6214	0	0	0	0	0	1	1	5	0	1	13	0
gene_6215	0	0	0	48	42	36	18	54	41	10	78	17
gene_6216	0	0	0	25	22	20	21	35	54	8	69	7
gene_6217	0	0	0	1	0	1	0	2	2	0	0	0
gene_6218	0	0	0	2	0	1	2	0	3	0	4	1
gene_6219	0	0	0	3	4	5	2	8	1	0	9	2
gene_622	0	0	0	13	17	8	14	22	17	8	36	17
gene_6220	0	0	0	0	0	0	0	0	0	0	0	0
gene_6221	0	0	0	0	0	0	0	0	0	0	0	0
gene_6222	0	0	0	0	0	0	0	0	0	0	0	0
gene_6223	0	0	0	0	1	0	1	0	5	1	5	0
gene_6224	0	0	0	17	11	11	10	11	14	2	23	12
gene_6225	0	0	0	0	0	1	3	1	1	0	2	0
gene_6226	0	0	0	4	0	0	0	0	3	1	32	2
gene_6227	0	0	0	2	0	2	0	1	3	0	0	0
gene_6228	0	0	0	0	1	0	2	6	2	0	3	1
gene_6229	0	0	0	0	1	1	0	0	7	0	3	1
gene_623	0	0	0	12	10	5	10	21	17	3	13	7
gene_6230	0	0	0	7	5	2	3	4	3	2	10	1
gene_6231	0	0	0	19	14	13	27	28	21	14	62	12
gene_6232	0	0	0	14	8	5	4	3	3	0	10	2
gene_6233	0	0	0	21	15	6	20	14	10	5	21	6
gene_6234	0	0	0	22	20	19	24	42	59	15	84	16
gene_6235	0	0	0	29	12	12	22	33	42	16	50	19
gene_6236	0	0	0	40	8	16	20	27	18	12	41	18
gene_6237	0	0	0	0	0	1	4	2	0	1	1	0
gene_6238	0	0	0	0	0	0	0	0	1	1	8	1
gene_6239	0	0	0	34	58	35	18	55	31	18	56	18
gene_624	0	0	0	35	18	23	36	57	40	8	72	21
gene_6240	0	0	0	12	1	3	13	12	2	6	23	2
gene_6241	0	0	0	79	61	40	29	98	97	27	116	29
gene_6242	0	0	0	15	20	5	1	4	12	0	8	7
gene_6243	0	0	0	36	21	25	26	24	22	14	84	10
gene_6244	0	0	0	101	119	51	53	122	108	16	110	22
gene_6245	0	0	0	3	2	0	0	2	1	1	0	0
gene_6246	0	0	0	5	0	2	0	0	1	0	2	0
gene_6247	0	0	0	43	48	30	26	39	45	13	65	13
gene_6248	0	0	0	8	16	2	9	5	6	4	6	4
gene_6249	0	0	0	31	32	18	17	23	29	11	36	8
gene_625	0	0	0	4	2	3	6	3	9	3	12	1
gene_6250	0	0	0	11	7	3	13	12	20	4	16	11
gene_6251	0	0	0	1	0	1	1	2	0	0	7	0
gene_6252	0	0	0	145	117	91	100	199	224	85	330	99
gene_6253	0	0	0	11	6	13	8	6	10	1	9	0
gene_6254	0	0	0	0	0	0	0	0	0	0	0	0
gene_6255	0	0	0	9	1	6	1	4	4	4	6	3
gene_6256	0	0	0	58	47	35	58	83	65	31	120	27
