GeneID	GCUXS	GCUXT	GCUXU	GCUXW	GCUXX	GCUXY	GCUXZ	GCUYA	GCUYB	GCUYC	GCUYG	GCUYH
gene_3066	0	0	0	11	8	20	12	4	6	4	0	16
gene_3067	0	0	0	1	1	3	0	0	0	0	0	2
gene_3068	0	0	0	7	8	10	17	11	5	2	4	9
gene_3069	0	0	0	2	1	1	2	1	0	0	0	0
gene_307	0	0	0	103	55	135	90	37	38	22	9	49
gene_3070	0	0	0	2	0	2	0	0	2	1	0	0
gene_3071	0	0	0	18	3	2	21	12	11	6	2	4
gene_3072	0	0	0	1	1	5	1	0	1	0	0	1
gene_3073	0	0	0	5	0	1	1	1	1	0	0	2
gene_3074	0	0	0	11	5	6	11	4	3	6	1	5
gene_3075	0	0	0	10	14	28	14	9	1	3	1	12
gene_3076	0	0	0	15	8	13	17	7	5	3	1	4
gene_3077	0	0	0	9	6	4	10	11	2	2	6	1
gene_3078	0	0	0	0	1	1	3	0	2	0	0	0
gene_3079	0	0	0	34	24	9	2	1	3	0	2	3
gene_308	0	0	0	12	10	13	6	0	7	5	0	4
gene_3080	0	0	0	0	0	0	0	0	0	0	0	0
gene_3081	0	0	0	0	0	0	0	0	1	0	0	2
gene_3082	0	0	0	0	0	1	0	1	0	0	0	0
gene_3083	0	0	0	0	0	0	0	0	0	0	0	0
gene_3084	0	0	0	2	0	0	1	3	0	0	0	2
gene_3085	0	0	0	3	0	0	0	0	0	0	0	0
gene_3086	0	0	0	0	0	0	0	0	0	0	0	0
gene_3087	0	0	0	0	0	0	0	1	0	0	0	2
gene_3088	0	0	0	1	2	6	1	0	3	0	1	2
gene_3089	0	0	0	14	6	23	18	13	21	4	4	15
gene_309	0	0	0	0	0	1	2	1	0	0	0	0
gene_3090	0	0	0	0	3	5	3	2	1	0	1	1
gene_3091	0	0	0	8	4	8	9	9	11	1	0	3
gene_3092	0	0	0	14	4	11	2	2	4	0	0	4
gene_3093	0	0	0	7	7	22	18	12	15	7	3	11
gene_3094	0	0	0	13	9	9	16	4	7	9	0	4
gene_3095	0	0	0	19	10	14	13	4	4	9	2	3
gene_3096	0	0	0	0	0	0	0	0	0	0	0	0
gene_3097	0	0	0	6	1	3	10	2	2	8	3	10
gene_3098	0	0	0	5	1	4	5	0	4	3	1	4
gene_3099	0	0	0	0	1	1	2	1	0	0	0	2
gene_31	0	0	0	17	14	10	30	14	15	13	3	16
gene_310	0	0	0	2	1	0	4	0	2	2	1	8
gene_3100	0	0	0	68	43	27	33	23	20	10	8	31
gene_3101	0	0	0	11	1	8	7	7	3	1	0	3
gene_3102	0	0	0	18	8	20	10	3	2	4	1	2
gene_3103	0	0	0	2	5	6	5	3	3	2	1	5
gene_3104	0	0	0	17	5	13	16	5	8	5	4	2
gene_3105	0	0	0	4	3	10	30	10	14	3	3	8
gene_3106	0	0	0	0	0	0	0	0	0	0	0	0
gene_3107	0	0	0	10	3	8	10	0	8	1	0	3
gene_3108	0	0	0	16	9	12	25	9	14	9	4	17
gene_3109	0	0	0	8	4	4	8	1	5	2	0	1
gene_311	0	0	0	0	2	2	0	4	1	0	0	0
gene_3110	0	0	0	11	5	13	10	5	3	5	4	9
gene_3111	0	0	0	14	15	22	7	12	4	8	3	9
gene_3112	0	0	0	0	0	0	0	0	0	0	0	0
gene_3113	0	0	0	0	0	0	0	0	1	0	1	0
gene_3114	0	0	0	15	11	9	20	22	13	12	3	8
gene_3115	0	0	0	5	2	13	9	2	6	5	1	3
gene_3116	0	0	0	1	3	5	1	0	2	0	1	3
gene_3117	0	0	0	0	0	0	0	0	0	0	0	0
gene_3118	0	0	0	1	1	1	1	0	0	0	0	0
gene_3119	0	0	0	21	14	6	25	15	12	12	2	10
gene_312	0	0	0	0	0	0	0	0	0	0	0	0
gene_3120	0	0	0	2	9	2	0	4	6	0	0	1
gene_3121	0	0	0	6	5	4	3	4	3	0	1	4
gene_3122	0	0	0	0	0	0	0	0	0	0	0	0
gene_3123	0	0	0	24	24	30	18	3	13	5	8	8
gene_3124	0	0	0	0	0	0	0	0	0	0	0	0
gene_3125	0	0	0	2	3	0	3	1	2	0	1	1
gene_3126	0	0	0	0	0	0	0	0	0	0	0	0
gene_3127	0	0	0	5	2	7	7	2	9	1	0	1
gene_3128	0	0	0	23	9	20	18	8	13	5	5	11
gene_3129	0	0	0	3	3	3	6	1	3	1	0	5
gene_313	0	0	0	18	10	15	36	16	13	20	5	19
gene_3130	0	0	0	0	0	2	2	0	0	0	0	0
gene_3131	0	0	0	46	26	24	108	33	43	25	16	37
gene_3132	0	0	0	2	0	3	1	1	3	2	1	0
gene_3133	0	0	0	24	18	24	16	11	7	13	2	9
gene_3134	0	0	0	5	2	8	3	3	0	0	1	1
gene_3135	0	0	0	4	2	8	8	4	2	0	2	2
gene_3136	0	0	0	0	0	0	0	0	0	0	0	0
gene_3137	0	0	0	29	11	39	27	17	14	14	3	10
gene_3138	0	0	0	0	0	0	0	0	0	0	0	0
gene_3139	0	0	0	9	8	6	12	11	13	3	2	9
gene_314	0	0	0	8	6	4	5	6	1	0	0	6
gene_3140	0	0	0	89	63	75	63	33	23	21	8	26
gene_3141	0	0	0	24	6	18	13	10	9	2	1	5
gene_3142	0	0	0	20	5	19	11	6	10	5	0	10
gene_3143	0	0	0	8	0	7	7	4	7	2	1	5
gene_3144	0	0	0	74	36	59	63	45	16	19	13	31
gene_3145	0	0	0	0	0	0	0	0	0	1	0	0
gene_3146	0	0	0	64	68	81	141	32	47	42	18	146
gene_3147	0	0	0	0	0	0	0	0	0	0	0	0
gene_3148	0	0	0	0	0	0	0	0	0	0	0	0
gene_3149	0	0	0	3	4	7	11	2	5	9	1	3
gene_315	0	0	0	86	27	58	60	22	33	28	6	27
gene_3150	0	0	0	16	21	41	14	6	7	7	5	5
gene_3151	0	0	0	2	0	0	10	5	9	3	1	2
gene_3152	0	0	0	208	49	100	70	23	33	21	8	38
gene_3153	0	0	0	0	0	0	0	0	0	0	0	0
gene_3154	0	0	0	0	0	0	0	0	0	0	0	0
gene_3155	0	0	0	11	4	7	11	3	4	2	2	2
gene_3156	0	0	0	4	1	0	3	0	2	0	1	3
gene_3157	0	0	0	18	3	11	67	31	16	36	7	28
gene_3158	0	0	0	0	0	7	0	2	1	1	1	1
gene_3159	0	0	0	9	5	6	9	1	5	4	1	7
gene_316	0	0	0	5	3	6	9	1	0	2	1	1
gene_3160	0	0	0	26	21	28	17	12	11	7	9	12
gene_3161	0	0	0	10	0	1	22	8	8	8	2	12
gene_3162	0	0	0	0	3	0	11	1	7	0	1	6
gene_3163	0	0	0	11	5	11	4	4	3	1	4	8
gene_3164	0	0	0	20	22	29	41	11	31	6	4	31
gene_3165	0	0	0	9	8	7	9	5	6	2	2	6
gene_3166	0	0	0	19	5	9	7	3	6	0	5	8
gene_3167	0	0	0	2	4	7	1	1	1	0	1	0
gene_3168	0	0	0	14	5	19	16	9	6	3	2	3
gene_3169	0	0	0	4	4	11	9	2	3	2	0	8
gene_317	0	0	0	23	7	20	25	12	18	18	3	26
gene_3170	0	0	0	13	6	21	31	7	8	9	3	7
gene_3171	0	0	0	8	7	3	4	0	2	1	1	0
gene_3172	0	0	0	12	3	5	10	6	8	3	1	2
gene_3173	0	0	0	3	5	2	3	2	1	0	0	0
gene_3174	0	0	0	16	9	14	16	6	5	2	1	2
gene_3175	0	0	0	6	6	12	7	8	5	0	1	4
gene_3176	0	0	0	16	8	11	9	4	17	7	5	10
gene_3177	0	0	0	4	0	2	1	0	0	0	0	0
gene_3178	0	0	0	2	2	5	6	0	0	2	0	5
gene_3179	0	0	0	11	8	18	7	1	4	2	1	9
