GeneID	GGAAT	GGAAU	GGAAW	GGAAX	GGAAY	GGAAZ	GGABA	GGABB	GGABC	GCYUP	GCYUS	GCYUT
gene_1283	0	0	0	0	0	0	0	0	0	0	0	0
gene_1284	0	0	0	4	38	35	6	12	18	23	12	11
gene_1285	0	0	0	6	12	20	8	11	17	4	4	0
gene_1286	0	0	0	4	22	37	6	22	43	54	34	25
gene_1287	0	0	0	1	1	1	0	0	0	0	0	0
gene_1288	0	0	0	5	24	32	4	11	17	11	8	3
gene_1289	0	0	0	5	5	16	3	3	6	9	10	3
gene_129	0	0	0	4	10	18	3	5	7	9	13	6
gene_1290	0	0	0	0	9	9	2	5	6	4	2	5
gene_1291	0	0	0	4	13	20	4	8	25	10	9	7
gene_1292	0	0	0	12	23	54	9	10	17	18	16	7
gene_1293	0	0	0	0	0	0	0	0	0	0	0	0
gene_1294	0	0	0	0	0	0	0	0	0	0	0	0
gene_1295	0	0	0	44	194	291	38	76	145	70	90	40
gene_1296	0	0	0	20	61	108	16	43	54	45	46	20
gene_1297	0	0	0	0	5	24	1	2	6	9	9	4
gene_1298	0	0	0	5	26	19	3	3	23	11	13	6
gene_1299	0	0	0	23	147	243	41	46	83	76	41	30
gene_13	0	0	0	2	12	9	3	7	10	9	5	7
gene_130	0	0	0	10	35	45	7	6	19	9	9	3
gene_1300	0	0	0	0	19	18	0	6	7	4	3	4
gene_1301	0	0	0	2	3	2	1	3	2	0	2	1
gene_1302	0	0	0	0	0	0	0	0	0	0	0	0
gene_1303	0	0	0	0	0	0	0	0	0	0	0	0
gene_1304	0	0	0	19	70	92	12	28	63	42	34	18
gene_1305	0	0	0	1	1	11	1	1	1	5	0	0
gene_1306	0	0	0	4	14	10	8	5	16	16	24	13
gene_1307	0	0	0	1	12	11	7	5	12	8	1	4
gene_1308	0	0	0	0	0	0	0	0	0	0	2	0
gene_1309	0	0	0	0	0	0	0	0	0	0	0	0
gene_131	0	0	0	2	50	68	9	13	19	25	23	9
gene_1310	0	0	0	6	3	7	0	2	2	5	4	4
gene_1311	0	0	0	3	2	3	0	3	2	0	0	1
gene_1312	0	0	0	3	36	45	10	15	20	23	21	9
gene_1313	0	0	0	9	32	35	9	5	14	24	20	7
gene_1314	0	0	0	2	10	17	3	4	4	7	5	4
gene_1315	0	0	0	7	31	44	8	13	16	16	21	7
gene_1316	0	0	0	0	19	29	8	5	15	13	11	3
gene_1317	0	0	0	12	25	55	8	16	27	21	18	15
gene_1318	0	0	0	1	6	7	2	3	2	2	8	3
gene_1319	0	0	0	18	73	117	12	51	76	67	61	22
gene_132	0	0	0	0	0	6	4	0	3	4	4	3
gene_1320	0	0	0	1	3	2	0	0	4	2	2	0
gene_1321	0	0	0	0	2	0	0	0	0	0	0	0
gene_1322	0	0	0	16	44	104	23	41	60	34	53	23
gene_1323	0	0	0	34	132	232	33	62	123	68	81	39
gene_1324	0	0	0	2	15	15	6	3	10	10	3	3
gene_1325	0	0	0	9	43	78	14	25	30	27	19	13
gene_1326	0	0	0	10	39	60	4	23	32	19	23	15
gene_1327	0	0	0	3	21	16	0	14	5	22	14	5
gene_1328	0	0	0	4	0	2	1	0	0	6	0	3
gene_1329	0	0	0	6	10	22	3	10	20	13	11	5
gene_133	0	0	0	6	25	38	3	12	10	10	11	5
gene_1330	0	0	0	5	51	53	9	9	18	10	13	6
gene_1331	0	0	0	0	1	1	0	3	2	1	2	0
gene_1332	0	0	0	1	5	11	2	1	6	2	4	3
gene_1333	0	0	0	0	2	0	0	0	0	0	0	0
gene_1334	0	0	0	3	15	29	8	12	20	6	8	6
gene_1335	0	0	0	15	55	73	26	60	76	43	63	31
gene_1336	0	0	0	1	0	0	1	1	1	10	4	0
gene_1337	0	0	0	4	3	8	0	2	10	4	1	0
gene_1338	0	0	0	6	5	6	5	3	7	3	2	3
gene_1339	0	0	0	4	15	31	8	7	7	13	7	7
gene_134	0	0	0	13	15	15	0	7	4	17	5	4
gene_1340	0	0	0	7	17	36	5	10	16	30	22	13
gene_1341	0	0	0	3	4	20	8	7	8	5	9	3
gene_1342	0	0	0	0	3	10	0	3	4	1	2	5
gene_1343	0	0	0	1	2	5	7	7	13	18	18	4
gene_1344	0	0	0	3	5	5	1	2	4	2	5	0
gene_1345	0	0	0	1	2	10	1	2	3	1	4	4
gene_1346	0	0	0	4	4	25	4	5	2	5	5	1
gene_1347	0	0	0	0	1	6	0	0	5	0	2	0
gene_1348	0	0	0	5	40	78	8	13	43	30	19	24
gene_1349	0	0	0	3	15	33	6	10	13	13	1	2
gene_135	0	0	0	1	18	28	0	2	2	5	4	1
gene_1350	0	0	0	2	2	8	0	4	5	3	3	3
gene_1351	0	0	0	0	3	3	0	2	5	0	1	0
gene_1352	0	0	0	25	88	98	21	36	60	46	30	25
gene_1353	0	0	0	0	9	13	3	1	4	2	1	3
gene_1354	0	0	0	1	2	3	1	4	6	1	3	0
gene_1355	0	0	0	0	0	0	0	0	0	0	0	0
gene_1356	0	0	0	3	6	13	10	22	23	41	17	7
gene_1357	0	0	0	11	9	11	24	59	28	62	50	33
gene_1358	0	0	0	2	4	3	0	2	2	2	0	1
gene_1359	0	0	0	1	2	7	0	2	0	0	0	0
gene_136	0	0	0	7	24	31	12	5	23	15	13	7
gene_1360	0	0	0	4	41	57	6	10	29	24	33	7
gene_1361	0	0	0	3	25	31	0	10	11	8	7	7
gene_1362	0	0	0	5	19	19	6	6	6	3	9	6
gene_1363	0	0	0	4	20	23	8	17	22	22	21	15
gene_1364	0	0	0	0	0	0	0	0	0	0	0	0
gene_1365	0	0	0	0	0	0	0	0	0	0	0	0
gene_1366	0	0	0	0	8	7	6	3	2	9	3	0
gene_1367	0	0	0	24	68	92	52	61	72	107	102	42
gene_1368	0	0	0	17	101	163	28	65	108	69	101	47
gene_1369	0	0	0	3	17	15	2	4	7	4	4	4
gene_137	0	0	0	46	204	289	56	71	154	144	118	69
gene_1370	0	0	0	0	8	9	0	1	5	9	11	5
gene_1371	0	0	0	0	0	0	0	0	0	0	0	0
gene_1372	0	0	0	0	0	0	0	0	0	0	0	0
gene_1373	0	0	0	10	23	54	6	18	16	27	26	13
gene_1374	0	0	0	1	1	5	1	0	3	1	1	0
gene_1375	0	0	0	0	3	2	0	2	0	0	1	0
gene_1376	0	0	0	19	126	185	33	86	84	96	110	72
gene_1377	0	0	0	0	1	1	0	0	0	0	0	0
gene_1378	0	0	0	1	9	27	4	3	15	20	4	10
gene_1379	0	0	0	14	54	54	17	44	52	41	48	18
gene_138	0	0	0	22	60	81	22	48	47	50	35	27
gene_1380	0	0	0	33	186	281	20	75	90	89	70	27
gene_1381	0	0	0	1	25	40	4	11	20	7	8	3
gene_1382	0	0	0	6	37	52	7	8	36	36	12	12
gene_1383	0	0	0	1	3	4	3	3	6	4	2	4
gene_1384	0	0	0	12	21	38	6	10	11	15	5	8
gene_1385	0	0	0	98	515	856	95	160	415	241	220	148
gene_1386	0	0	0	1	9	7	1	3	3	1	1	1
gene_1387	0	0	0	3	6	15	0	6	11	4	0	3
gene_1388	0	0	0	25	101	148	43	47	61	88	54	23
gene_1389	0	0	0	2	21	34	3	4	14	18	11	6
gene_139	0	0	0	3	39	45	15	12	28	36	10	7
gene_1390	0	0	0	7	28	25	10	11	20	21	17	9
gene_1391	0	0	0	1	1	3	3	0	1	1	3	2
gene_1392	0	0	0	9	19	30	17	20	21	38	24	20
gene_1393	0	0	0	18	168	268	6	25	61	39	38	21
gene_1394	0	0	0	3	6	7	0	5	8	0	2	2
gene_1395	0	0	0	4	27	54	7	21	30	18	15	2
gene_1396	0	0	0	8	26	28	10	11	14	16	13	2
gene_1397	0	0	0	11	137	236	19	39	37	40	37	17
gene_1398	0	0	0	3	5	14	12	10	6	13	14	9
gene_1399	0	0	0	3	45	44	14	13	33	14	16	9
gene_14	1	0	0	1	8	6	2	5	6	3	3	2
gene_140	0	0	0	0	3	4	0	1	0	3	3	0
gene_1400	0	0	0	0	0	0	0	0	0	0	0	0
gene_1401	0	0	0	7	29	27	7	12	16	4	12	5
gene_1402	0	0	0	8	14	22	3	11	11	11	12	8
gene_1403	0	0	0	2	25	18	6	3	17	10	7	8
gene_1404	0	0	0	0	17	6	2	8	12	4	3	4
gene_1405	0	0	0	2	8	13	0	3	4	14	3	1
gene_1406	0	0	0	0	2	3	1	0	3	2	1	0
gene_1407	0	0	0	2	14	18	2	4	3	12	1	2
gene_1408	0	0	0	2	1	2	3	4	5	1	4	1
gene_1409	0	0	0	0	0	4	0	0	1	0	1	0
gene_141	0	0	0	0	0	0	0	0	0	0	0	0
gene_1410	0	0	0	3	5	19	8	7	14	6	14	5
gene_1411	0	0	0	5	19	33	0	4	13	13	14	8
gene_1412	0	0	0	1	7	4	14	6	11	11	10	2
gene_1413	0	0	0	0	0	3	2	0	1	1	1	0
gene_1414	0	0	0	0	6	6	3	3	3	1	3	5
gene_1415	0	0	0	11	34	50	5	3	18	13	17	4
gene_1416	0	0	0	7	18	34	1	10	30	7	6	10
gene_1417	0	0	0	3	1	8	0	1	4	2	4	0
gene_1418	0	0	0	0	1	2	0	0	0	0	0	0
gene_1419	0	0	0	13	38	72	5	31	23	34	24	10
gene_142	0	0	0	9	58	64	10	6	53	23	35	10
gene_1420	0	0	0	0	11	17	0	5	7	4	5	3
gene_1421	0	0	0	0	0	0	0	0	0	0	0	2
gene_1422	0	0	0	1	14	17	5	2	11	6	7	3
gene_1423	0	0	0	3	26	51	7	16	35	14	39	3
gene_1424	0	0	0	2	6	9	0	0	7	1	2	0
gene_1425	0	0	0	7	10	21	2	4	3	3	9	5
gene_1426	0	0	0	5	8	6	2	5	7	6	8	1
gene_1427	0	0	0	6	3	18	5	10	10	23	12	4
gene_1428	0	0	0	4	9	28	3	3	11	1	9	1
gene_1429	0	0	0	7	36	49	2	16	18	13	35	14
gene_143	0	0	0	3	22	27	10	15	8	14	5	7
gene_1430	0	0	0	7	34	40	11	10	16	16	8	6
gene_1431	0	0	0	1	12	24	1	6	22	12	9	8
gene_1432	0	0	0	0	2	4	0	1	0	0	0	0
gene_1433	0	0	0	2	26	33	10	20	21	18	5	4
gene_1434	0	0	0	9	17	24	5	9	22	13	16	3
gene_1435	0	0	0	20	108	180	18	25	43	44	35	23
gene_1436	0	0	0	10	46	75	9	26	38	39	47	21
gene_1437	0	0	0	10	57	66	10	22	24	31	18	23
gene_1438	0	0	0	0	7	4	0	0	0	4	2	3
gene_1439	0	0	0	1	28	28	5	9	15	18	14	8
gene_144	0	0	0	0	0	0	0	0	0	4	1	0
gene_1440	0	0	0	7	8	23	10	5	17	9	10	7
gene_1441	0	0	0	3	8	9	1	2	7	4	9	2
gene_1442	0	0	0	10	47	50	8	18	29	29	27	9
gene_1443	0	0	0	3	13	21	6	10	14	7	2	1
gene_1444	0	0	0	2	10	14	3	6	9	17	13	8
gene_1445	0	0	0	5	32	21	7	10	21	18	13	9
gene_1446	0	0	0	25	64	83	16	35	69	55	56	30
gene_1447	0	0	0	5	23	18	16	22	25	23	23	13
gene_1448	0	0	0	10	20	38	11	24	11	23	23	13
gene_1449	0	0	0	5	2	8	0	2	6	3	7	4
gene_145	0	0	0	0	0	0	0	0	0	0	0	0
gene_1450	0	0	0	1	3	13	3	2	9	7	2	3
gene_1451	0	0	0	3	16	31	4	10	15	9	9	12
gene_1452	0	0	0	2	7	20	4	3	11	4	9	0
gene_1453	0	0	0	1	5	5	3	5	2	5	3	0
gene_1454	0	0	0	5	8	20	2	6	15	15	4	6
gene_1455	0	0	0	4	15	16	6	3	8	10	5	4
gene_1456	0	0	0	15	37	84	18	29	21	30	22	13
gene_1457	0	0	0	24	54	50	21	25	50	52	28	15
gene_1458	0	0	0	1	0	3	0	0	0	0	0	0
gene_1459	0	0	0	92	336	471	83	120	254	98	156	86
gene_146	0	0	0	0	0	0	0	0	0	0	0	0
gene_1460	0	0	0	17	63	139	16	37	48	40	43	20
gene_1461	0	0	0	2	26	22	3	11	20	8	14	4
gene_1462	0	0	0	40	116	238	27	55	120	82	59	32
gene_1463	0	0	0	1	7	3	1	2	6	0	0	1
gene_1464	0	0	0	15	32	38	18	26	33	37	36	15
gene_1465	0	0	0	6	31	36	6	18	19	25	13	15
gene_1466	0	0	0	0	4	5	1	1	2	8	5	6
gene_1467	0	0	0	4	11	31	6	8	12	21	14	6
gene_1468	0	0	0	6	42	46	28	14	37	35	24	15
gene_1469	0	0	0	0	2	4	0	3	7	1	1	0
gene_147	0	0	0	3	33	42	7	14	20	21	13	3
gene_1470	0	0	0	17	44	67	11	21	60	29	27	11
gene_1471	0	0	0	54	408	575	44	67	123	160	105	51
gene_1472	0	0	0	0	1	1	0	1	1	0	1	2
gene_1473	0	0	0	17	32	49	10	10	23	25	17	5
gene_1474	0	0	0	6	10	22	3	10	5	11	3	2
gene_1475	0	0	0	2	20	23	4	5	3	6	5	1
gene_1476	0	0	0	3	8	6	3	6	8	7	4	1
gene_1477	0	0	0	22	104	128	18	35	29	31	31	19
gene_1478	0	0	0	6	22	25	10	11	24	11	13	9
gene_1479	0	0	0	2	7	23	6	3	8	3	6	2
gene_148	0	0	0	4	17	35	1	10	13	12	10	3
gene_1480	0	0	0	7	39	54	12	11	24	14	20	9
gene_1481	0	0	0	5	94	165	7	10	27	28	12	4
gene_1482	0	0	0	0	1	0	0	0	0	1	0	0
gene_1483	0	0	0	6	24	50	5	8	11	13	6	10
gene_1484	0	0	0	1	3	9	11	7	8	20	10	17
gene_1485	0	0	0	0	2	6	1	3	3	2	1	0
gene_1486	0	0	0	5	18	31	4	21	30	28	13	7
gene_1487	0	0	0	5	18	24	9	9	20	20	7	9
gene_1488	0	0	0	2	13	24	7	14	29	24	27	12
gene_1489	0	0	0	1	23	15	2	2	5	4	1	1
gene_149	0	0	0	26	48	109	17	41	41	70	42	29
gene_1490	0	0	0	0	2	1	2	0	0	0	0	0
gene_1491	0	0	0	8	74	79	15	24	41	33	29	18
gene_1492	0	0	0	0	11	16	1	1	2	1	1	1
gene_1493	0	0	0	0	0	0	0	0	0	0	0	0
gene_1494	0	0	0	19	38	41	32	34	31	58	38	25
gene_1495	0	0	0	4	21	28	2	11	20	15	10	8
gene_1496	0	0	0	1	6	46	5	11	11	27	17	5
gene_1497	0	0	0	0	9	17	3	5	4	3	7	6
gene_1498	0	0	0	1	19	30	5	3	14	2	7	4
gene_1499	0	0	0	0	0	0	0	0	0	3	2	1
gene_15	0	0	0	2	23	24	3	8	14	10	8	9
gene_150	0	0	0	7	18	37	8	20	25	47	17	13
gene_1500	0	0	0	7	10	18	6	7	25	10	6	5
gene_1501	0	0	0	9	21	36	9	14	28	14	12	9
gene_1502	0	0	0	5	15	35	7	5	18	15	11	8
gene_1503	0	0	0	9	8	31	12	20	21	28	13	12
gene_1504	0	0	0	0	7	10	1	1	1	4	3	1
gene_1505	0	0	0	4	1	3	2	3	3	8	3	5
gene_1506	0	0	0	0	0	0	0	0	0	0	0	0
gene_1507	0	0	0	0	0	0	0	0	0	0	0	0
gene_1508	0	0	0	0	1	2	0	0	2	0	2	1
gene_1509	0	0	0	69	343	477	62	111	211	142	130	71
gene_151	0	0	0	0	0	0	0	1	0	0	0	0
gene_1510	0	0	0	1	2	7	1	4	5	5	10	4
gene_1511	0	0	0	4	9	4	1	3	0	3	0	3
gene_1512	0	0	0	1	16	40	2	10	5	5	4	4
gene_1513	0	0	0	0	0	0	0	0	0	0	0	0
gene_1514	0	0	0	8	25	40	8	20	18	18	34	19
