GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_10106	0	0	0	0	0	0	0	0	0	0
gene_10107	0	0	0	21	7	21	7	57	6	9
gene_10108	0	0	0	0	0	0	0	0	0	0
gene_10109	0	0	0	0	0	0	0	0	0	1
gene_1011	0	0	0	0	0	0	0	0	0	0
gene_10110	0	0	0	3	0	0	0	1	0	1
gene_10111	0	0	0	1	0	0	0	8	0	0
gene_10112	0	0	0	11	0	1	1	9	1	2
gene_10113	0	0	0	4	0	0	0	6	1	3
gene_10114	0	0	0	0	0	0	0	0	0	0
gene_10115	0	0	0	1	0	0	0	6	0	12
gene_10116	0	0	0	6	0	6	1	3	1	2
gene_10117	0	0	0	2	0	0	0	1	0	1
gene_10118	0	0	0	7	0	0	0	3	3	9
gene_10119	0	0	0	22	2	1	3	21	6	10
gene_1012	0	0	0	58	2	14	4	43	13	35
gene_10120	0	0	0	1	0	0	0	4	2	1
gene_10121	0	0	0	1	0	0	0	3	4	2
gene_10122	0	0	0	163	3	2	8	66	22	49
gene_10123	0	0	0	18	0	1	0	23	5	5
gene_10124	0	0	0	2	0	0	1	2	2	2
gene_10125	0	0	0	50	5	11	18	92	36	54
gene_10126	0	0	0	20	3	7	1	11	2	6
gene_10127	0	0	0	0	0	0	0	0	0	0
gene_10128	0	0	0	16	3	1	6	51	14	32
gene_10129	0	0	0	2	0	2	0	0	0	1
gene_1013	0	0	0	2	0	2	3	20	5	6
gene_10130	0	0	0	0	0	0	0	0	0	0
gene_10131	0	0	0	115	1	10	7	68	19	35
gene_10132	0	0	0	24	4	4	7	30	4	15
gene_10133	0	0	0	19	3	2	5	72	26	30
gene_10134	0	0	0	3	0	2	2	4	8	7
gene_10135	0	0	0	2	0	0	0	3	2	1
gene_10136	0	0	0	4	0	0	0	2	0	0
gene_10137	0	0	0	5	0	2	1	29	3	7
gene_10138	0	0	0	86	5	28	10	90	22	53
gene_10139	0	0	0	26	0	9	5	16	10	14
gene_1014	0	0	0	15	1	3	4	22	8	22
gene_10140	0	0	0	6	0	0	0	12	1	5
gene_10141	0	0	0	3	0	0	0	1	0	2
gene_10142	0	0	0	31	0	4	6	44	11	23
gene_10143	0	0	0	10	0	1	0	9	2	6
gene_10144	0	0	0	10	0	1	0	4	1	7
