GeneID	GGHNY	GGHNZ	GGHOA	GGHOH	GGHON	GGHOO	GGHOP	GGHOS	GGHOT	GGHOB	GGHOC	GGHOG
gene_4755	0	0	0	152	112	60	9	90	121	12	37	71
gene_4756	0	0	0	177	85	62	2	68	59	13	30	53
gene_4757	0	0	0	55	25	20	2	7	22	1	6	14
gene_4758	0	0	0	5	4	4	3	5	4	1	5	5
gene_4759	0	0	0	214	87	70	20	78	90	29	36	73
gene_476	0	0	0	60	15	17	20	117	133	20	22	60
gene_4760	0	0	0	145	92	56	10	112	91	11	38	39
gene_4761	0	0	0	20	16	2	0	19	23	1	5	5
gene_4762	0	0	0	6	6	2	0	8	6	1	10	5
gene_4763	0	0	0	5	12	2	0	9	5	2	2	5
gene_4764	0	0	0	6	1	2	1	8	14	2	4	4
gene_4765	0	0	0	4	3	2	1	4	6	1	4	8
gene_4766	0	0	0	8	9	14	1	8	8	4	6	6
gene_4767	0	0	0	15	3	4	3	1	6	0	6	2
gene_4768	0	0	0	104	82	46	7	64	71	16	36	51
gene_4769	0	0	0	152	68	44	14	145	119	25	49	71
gene_477	0	0	0	24	13	1	1	12	19	1	7	7
gene_4770	0	0	0	5	4	3	5	8	6	1	3	6
gene_4771	0	0	0	26	9	11	6	21	30	15	6	12
gene_4772	0	0	0	3	2	0	1	9	2	3	2	1
gene_4773	0	0	0	19	5	3	2	14	25	5	12	17
gene_4774	0	0	0	1	4	3	0	0	0	0	0	1
gene_4775	0	0	0	1	5	5	0	4	4	4	2	3
gene_4776	0	0	0	44	12	10	6	46	57	10	31	26
gene_4777	0	0	0	8	9	7	1	2	9	0	4	1
gene_4778	0	0	0	0	0	0	0	0	0	0	0	0
gene_4779	0	0	0	3	0	0	1	0	1	1	1	0
gene_478	0	0	0	17	8	4	3	27	32	9	7	16
gene_4780	0	0	0	2	3	6	0	3	2	0	1	2
gene_4781	0	0	0	0	0	0	0	0	0	0	0	0
gene_4782	0	0	0	48	23	20	10	47	38	9	26	50
gene_4783	0	0	0	10	6	1	0	4	5	0	1	1
gene_4784	0	0	0	0	0	0	0	0	0	0	0	0
gene_4785	0	0	0	6	5	3	0	6	7	0	3	7
gene_4786	0	0	0	115	82	37	9	89	97	8	29	29
gene_4787	0	0	0	5	0	3	0	6	3	2	3	3
gene_4788	0	0	0	119	67	38	12	66	86	3	29	26
gene_4789	0	0	0	22	7	8	1	22	24	3	9	11
gene_479	0	0	0	1	1	1	1	2	4	0	1	0
gene_4790	0	0	0	11	5	1	7	14	23	2	1	6
gene_4791	0	0	0	8	0	4	3	6	11	1	4	6
gene_4792	0	0	0	0	0	0	0	1	1	0	0	0
gene_4793	0	0	0	1	1	0	0	1	0	0	0	0
gene_4794	0	0	0	0	0	0	0	0	0	0	0	0
gene_4795	0	0	0	0	0	0	0	0	0	0	0	0
gene_4796	0	0	0	0	0	0	0	0	0	0	0	0
gene_4797	0	0	0	3	0	1	0	0	0	0	0	0
gene_4798	0	0	0	44	28	11	8	43	31	12	15	21
gene_4799	0	0	0	13	5	3	1	8	10	2	0	1
gene_48	0	0	0	14	11	13	2	12	10	6	5	4
gene_480	0	0	0	0	0	0	0	0	0	0	0	0
gene_4800	0	0	0	0	0	0	0	0	0	0	0	0
gene_4801	0	0	0	7	5	4	0	7	14	1	3	3
gene_4802	0	0	0	8	4	4	2	20	6	1	3	8
gene_4803	0	0	0	3	2	0	1	4	5	4	2	8
gene_4804	0	0	0	4	5	7	1	5	2	0	6	9
gene_4805	0	0	0	0	0	0	0	0	0	0	0	0
gene_4806	0	0	0	99	37	31	10	61	64	9	35	45
gene_4807	0	0	0	63	43	24	8	51	48	14	13	13
gene_4808	0	0	0	93	40	30	18	90	125	22	45	71
gene_4809	0	0	0	5	2	3	0	6	8	0	4	5
gene_481	0	0	0	0	0	0	0	0	0	0	0	0
gene_4810	0	0	0	4	1	0	1	19	3	6	6	10
gene_4811	0	0	0	172	76	33	13	154	191	21	40	73
gene_4812	0	0	0	8	11	6	3	6	15	1	2	6
gene_4813	0	0	0	2	1	0	0	0	0	0	0	0
gene_4814	0	0	0	31	19	10	4	19	23	4	7	11
gene_4815	0	0	0	7	6	2	5	8	3	1	3	5
gene_4816	0	0	0	33	28	18	3	52	48	4	12	16
gene_4817	0	0	0	1	1	3	0	3	2	1	0	6
gene_4818	0	0	0	0	0	0	0	0	1	0	0	0
gene_4819	0	0	0	8	5	2	1	3	7	0	3	4
gene_482	0	0	0	0	0	0	2	0	2	0	0	0
gene_4820	0	0	0	156	57	49	25	126	146	22	40	59
gene_4821	0	0	0	0	0	0	0	0	0	0	0	0
gene_4822	0	0	0	0	0	0	0	0	1	0	0	0
gene_4823	0	0	0	185	114	48	7	141	143	15	32	62
gene_4824	0	0	0	0	0	0	0	0	0	0	0	0
gene_4825	0	0	0	6	3	5	0	6	13	1	1	3
gene_4826	0	0	0	1	0	0	0	1	0	0	0	0
gene_4827	0	0	0	72	35	22	2	26	44	9	13	30
gene_4828	0	0	0	2	9	1	3	9	13	0	1	8
gene_4829	0	0	0	0	0	0	0	0	0	0	0	0
gene_483	0	0	0	34	10	16	3	44	24	6	13	24
gene_4830	0	0	0	1	0	0	1	3	1	0	2	2
gene_4831	0	0	0	58	36	26	2	25	30	8	13	19
gene_4832	0	0	0	36	29	5	0	23	27	5	5	9
gene_4833	0	0	0	4	0	1	2	3	3	1	0	1
gene_4834	0	0	0	0	0	0	0	1	1	0	0	0
gene_4835	0	0	0	26	14	6	1	20	18	5	4	5
gene_4836	0	0	0	65	37	27	10	55	44	10	24	21
gene_4837	0	0	0	64	26	19	12	70	51	13	12	51
gene_4838	0	0	0	78	42	28	13	79	73	21	35	39
gene_4839	0	0	0	20	8	2	1	18	18	2	3	18
gene_484	0	0	0	173	122	62	21	135	136	24	39	62
gene_4840	0	0	0	10	7	2	0	19	9	0	3	3
gene_4841	0	0	0	0	1	0	0	8	4	0	0	4
gene_4842	0	0	0	28	16	13	4	33	28	2	12	14
gene_4843	0	0	0	0	0	0	0	0	1	0	0	0
gene_4844	0	0	0	12	7	3	4	21	24	6	12	13
gene_4845	0	0	0	14	2	7	4	11	24	5	6	8
gene_4846	0	0	0	10	3	7	7	32	40	6	9	13
gene_4847	0	0	0	245	191	129	26	203	196	39	79	87
gene_4848	0	0	0	0	1	0	0	0	0	0	0	0
gene_4849	0	0	0	0	0	0	0	0	0	0	0	0
gene_485	0	0	0	11	6	8	3	10	15	5	6	7
gene_4850	0	0	0	0	0	0	0	0	0	0	0	0
gene_4851	0	0	0	20	12	6	1	11	21	5	8	9
gene_4852	0	0	0	35	22	14	4	19	12	1	5	16
gene_4853	0	0	0	10	3	2	1	6	5	0	2	1
gene_4854	0	0	0	17	7	8	1	7	12	0	3	7
gene_4855	0	0	0	120	78	55	12	101	105	24	39	45
gene_4856	0	0	0	4	1	2	0	2	1	0	0	1
gene_4857	0	0	0	10	3	4	0	9	5	1	2	5
gene_4858	0	0	0	4	3	2	1	4	3	0	1	3
gene_4859	0	0	0	21	10	5	2	22	42	1	10	9
gene_486	0	0	0	6	0	2	0	6	9	1	2	1
gene_4860	0	0	0	1	1	0	0	5	9	0	2	1
gene_4861	0	0	0	14	2	2	0	24	19	2	6	12
gene_4862	0	0	0	0	1	0	0	0	3	0	1	0
gene_4863	0	0	0	118	54	39	8	88	91	27	40	46
gene_4864	0	0	0	46	14	14	5	34	28	10	18	20
gene_4865	0	0	0	22	16	10	1	14	11	3	8	9
gene_4866	0	0	0	1	0	0	0	1	3	0	0	0
gene_4867	0	0	0	0	0	0	0	0	0	0	1	0
gene_4868	0	0	0	11	7	1	0	11	17	1	11	6
gene_4869	0	0	0	0	0	0	0	0	0	0	0	0
gene_487	0	0	0	46	6	4	2	24	30	5	23	13
gene_4870	0	0	0	0	0	0	0	0	0	0	0	0
gene_4871	0	0	0	3	1	2	0	2	1	1	2	2
gene_4872	0	0	0	2	1	3	0	11	9	1	1	4
gene_4873	0	0	0	0	0	0	0	0	0	1	0	0
gene_4874	0	0	0	1	0	0	0	7	0	1	5	1
gene_4875	0	0	0	0	0	0	0	0	0	0	0	0
gene_4876	0	0	0	0	0	0	0	0	0	0	0	0
gene_4877	0	0	0	1	0	0	0	1	0	0	0	0
gene_4878	0	0	0	0	1	0	0	0	0	0	0	0
gene_4879	0	0	0	24	8	8	2	21	13	3	10	11
gene_488	0	0	0	99	51	36	23	73	68	32	28	66
gene_4880	0	0	0	0	0	0	0	0	0	0	0	0
gene_4881	0	0	0	0	0	0	0	0	0	0	0	0
gene_4882	0	0	0	31	10	9	4	35	30	5	22	21
gene_4883	0	0	0	1	0	2	0	2	6	1	0	5
gene_4884	0	0	0	28	11	9	1	19	14	4	7	15
gene_4885	0	0	0	11	7	5	3	17	17	6	8	11
gene_4886	0	0	0	2	2	1	0	3	0	0	0	1
gene_4887	0	0	0	4	0	2	0	7	6	0	1	2
gene_4888	0	0	0	1	2	1	0	4	7	0	2	4
gene_4889	0	0	0	0	0	0	0	0	0	0	0	0
gene_489	0	0	0	10	1	1	1	6	15	1	5	6
gene_4890	0	0	0	7	10	5	0	2	3	1	0	7
gene_4891	0	0	0	1	3	1	0	2	0	0	0	0
gene_4892	0	0	0	36	12	12	18	100	131	14	28	25
